,Date,Close
0,2006-02-06,656.7862295150757
1,2006-02-07,651.3852441787719
2,2006-02-08,656.8267593383789
3,2006-02-09,656.0547357559204
4,2006-02-10,657.4506519317626
5,2006-02-13,655.2607614517212
6,2006-02-14,661.6306842803954
7,2006-02-15,663.7838680267334
8,2006-02-16,668.555401802063
9,2006-02-17,667.6236270904542
10,2006-02-21,665.5044054031372
11,2006-02-22,670.3816402435303
12,2006-02-23,667.855117416382
13,2006-02-24,668.8392072677611
14,2006-02-27,671.0696460723877
15,2006-02-28,664.4849058151245
16,2006-03-01,669.7742750167847
17,2006-03-02,668.7810791015626
18,2006-03-03,667.7647954940796
19,2006-03-06,663.052115058899
20,2006-03-07,661.8421346664429
21,2006-03-08,663.0171073913573
22,2006-03-09,659.9213409423828
23,2006-03-10,664.4738157272338
24,2006-03-13,665.931351852417
25,2006-03-14,672.7451480865478
26,2006-03-15,675.4739097595215
27,2006-03-16,676.7371940612793
28,2006-03-17,677.6295658111571
29,2006-03-20,676.5035530090332
30,2006-03-21,672.5078350067139
31,2006-03-22,676.4315536499023
32,2006-03-23,674.7601997375488
33,2006-03-24,675.5253580093383
34,2006-03-27,674.9481676101684
35,2006-03-28,670.7081268310548
36,2006-03-29,675.61895942688
37,2006-03-30,674.4008068084718
38,2006-03-31,671.7018028259276
39,2006-04-03,673.2016384124755
40,2006-04-04,677.2587131500244
41,2006-04-05,680.1307039260864
42,2006-04-06,678.9545606613159
43,2006-04-07,672.0513805389404
44,2006-04-10,672.7341997146606
45,2006-04-11,667.6918087005614
46,2006-04-12,668.4896865844727
47,2006-04-13,668.9763538360596
48,2006-04-17,667.2892078399658
49,2006-04-18,678.3555927276611
50,2006-04-19,679.9061450958252
51,2006-04-20,680.3424409866333
52,2006-04-21,680.5190435409545
53,2006-04-24,678.7982563018799
54,2006-04-25,675.677659034729
55,2006-04-26,677.5630758285522
56,2006-04-27,679.6547061920166
57,2006-04-28,680.383906173706
58,2006-05-01,677.6392322540283
59,2006-05-02,681.8295993804932
60,2006-05-03,679.2253631591797
61,2006-05-04,681.3585765838623
62,2006-05-05,688.2177175521851
63,2006-05-08,687.6307315826417
64,2006-05-09,688.107123374939
65,2006-05-10,687.0669031143188
66,2006-05-11,678.6781837463379
67,2006-05-12,671.3045507431029
68,2006-05-15,672.4990480422974
69,2006-05-16,671.4961158752441
70,2006-05-17,660.5198503494263
71,2006-05-18,656.2655254364014
72,2006-05-19,658.6374340057373
73,2006-05-22,656.1491500854493
74,2006-05-23,653.4996162414551
75,2006-05-24,654.2118896484376
76,2006-05-25,661.4652866363525
77,2006-05-26,665.2362777709961
78,2006-05-30,655.0438533782958
79,2006-05-31,659.996992111206
80,2006-06-01,667.6016059875489
81,2006-06-02,669.1178918838501
82,2006-06-05,657.5723043441773
83,2006-06-06,656.8040317535399
84,2006-06-07,652.8609174728393
85,2006-06-08,653.6473844528198
86,2006-06-09,650.8132469177245
87,2006-06-12,643.2660791397095
88,2006-06-13,635.9723312377929
89,2006-06-14,639.0542524337768
90,2006-06-15,652.2786001205444
91,2006-06-16,649.9985843658447
92,2006-06-19,644.0809091567993
93,2006-06-20,644.196401977539
94,2006-06-21,650.3731159210205
95,2006-06-22,646.941554260254
96,2006-06-23,646.4219001770019
97,2006-06-26,649.4559070587159
98,2006-06-27,643.7686958312988
99,2006-06-28,647.1296745300293
100,2006-06-29,660.8641967773438
101,2006-06-30,659.7075052261351
102,2006-07-03,664.8774297714234
103,2006-07-05,660.20404586792
104,2006-07-06,661.8701639175415
105,2006-07-07,657.5764659881592
106,2006-07-10,658.4459362030029
107,2006-07-11,661.242919921875
108,2006-07-12,654.4703313827515
109,2006-07-13,646.3860801696777
110,2006-07-14,643.4078510284423
111,2006-07-17,642.2781860351563
112,2006-07-18,643.3332298278809
113,2006-07-19,654.9929195404052
114,2006-07-20,649.498670387268
115,2006-07-21,644.9797988891602
116,2006-07-24,655.2671766281128
117,2006-07-25,659.2616033554077
118,2006-07-26,659.0628437042236
119,2006-07-27,656.6199983596803
120,2006-07-28,664.3441854476929
121,2006-07-31,663.4043817520142
122,2006-08-01,660.7007951736449
123,2006-08-02,664.0242586135864
124,2006-08-03,665.3741607666016
125,2006-08-04,664.9853267669678
126,2006-08-07,663.2476490020753
127,2006-08-08,661.0193098068237
128,2006-08-09,658.3371635437011
129,2006-08-10,661.0928518295289
130,2006-08-11,658.454472732544
131,2006-08-14,659.1051031112671
132,2006-08-15,667.8101308822633
133,2006-08-16,672.8170974731445
134,2006-08-17,673.6658094406127
135,2006-08-18,676.0993757247925
136,2006-08-21,673.9065034866333
137,2006-08-22,674.5175796508789
138,2006-08-23,671.5525156021118
139,2006-08-24,673.10733795166
140,2006-08-25,672.6404518127441
141,2006-08-28,675.8612569808961
142,2006-08-29,677.1087600708008
143,2006-08-30,677.7575300216674
144,2006-08-31,677.0915826797485
145,2006-09-01,680.6697429656983
146,2006-09-05,681.8880065917969
147,2006-09-06,675.3357551574707
148,2006-09-07,672.0431016921997
149,2006-09-08,674.4378847122192
150,2006-09-11,674.4752340316772
151,2006-09-12,681.1969968795777
152,2006-09-13,683.7706874847412
153,2006-09-14,682.6973834991455
154,2006-09-15,684.3975297927856
155,2006-09-18,685.2600849151611
156,2006-09-19,683.3696010589599
157,2006-09-20,687.1808925628661
158,2006-09-21,683.7809661865235
159,2006-09-22,682.1990606307984
160,2006-09-25,688.0322374343872
161,2006-09-26,693.0527275085449
162,2006-09-27,693.3015745162965
163,2006-09-28,694.4652824401855
164,2006-09-29,692.9095502853394
165,2006-10-02,690.6073190689087
166,2006-10-03,691.7629524230957
167,2006-10-04,699.8146259307862
168,2006-10-05,701.3372211456299
169,2006-10-06,699.473260307312
170,2006-10-09,700.1193172454833
171,2006-10-10,701.3593168258668
172,2006-10-11,699.5672098159789
173,2006-10-12,706.1066383361816
174,2006-10-13,707.6086513519286
175,2006-10-16,709.433260345459
176,2006-10-17,706.9035795211792
177,2006-10-18,707.7611711502075
178,2006-10-19,708.4473598480225
179,2006-10-20,709.1713535308838
180,2006-10-23,713.2338340759277
181,2006-10-24,713.4875930786133
182,2006-10-25,716.0428903579711
183,2006-10-26,719.5701581954957
184,2006-10-27,713.7511419296264
185,2006-10-30,714.078289604187
186,2006-10-31,714.1682823181152
187,2006-11-01,709.2703142166138
188,2006-11-02,709.0576107025146
189,2006-11-03,707.5108516693115
190,2006-11-06,715.2450786590575
191,2006-11-07,716.8280733108521
192,2006-11-08,718.2190584182739
193,2006-11-09,714.7402534484863
194,2006-11-10,715.973662185669
195,2006-11-13,717.6683025360107
196,2006-11-14,722.0420692443847
197,2006-11-15,723.7209684371948
198,2006-11-16,725.1967136383057
199,2006-11-17,726.0329582214356
200,2006-11-20,725.6866422653198
201,2006-11-21,726.9328784942627
202,2006-11-22,728.6272727966308
203,2006-11-24,726.1902618408204
204,2006-11-27,716.7124235153199
205,2006-11-28,719.1315841674806
206,2006-11-29,725.4710302352905
207,2006-11-30,726.2411851882935
208,2006-12-01,724.285786819458
209,2006-12-04,730.49821434021
210,2006-12-05,733.2834281921387
211,2006-12-06,732.1997663497924
212,2006-12-07,729.3758668899536
213,2006-12-08,730.5301990509033
214,2006-12-11,732.1820650100708
215,2006-12-12,731.4821224212646
216,2006-12-13,732.2503746032714
217,2006-12-14,738.354005241394
218,2006-12-15,739.0483558654786
219,2006-12-18,736.7207920074463
220,2006-12-19,738.3682552337647
221,2006-12-20,737.3375373840332
222,2006-12-21,734.7120782852173
223,2006-12-22,730.9694801330567
224,2006-12-26,734.0354015350342
225,2006-12-27,738.9765655517579
226,2006-12-28,737.9821542739869
227,2006-12-29,734.8048564910888
228,2007-01-03,733.8327136993408
229,2007-01-04,734.6240381240844
230,2007-01-05,730.1421895980835
231,2007-01-08,731.7586553573609
232,2007-01-09,731.4138746261597
233,2007-01-10,732.7102878570556
234,2007-01-11,737.1638343811036
235,2007-01-12,740.7930948257446
236,2007-01-16,741.3361145019531
237,2007-01-17,740.7695152282715
238,2007-01-18,738.6106269836425
239,2007-01-19,740.7712474822997
240,2007-01-22,736.9785524368285
241,2007-01-23,739.6779500961303
242,2007-01-24,745.7359720230103
243,2007-01-25,737.5538293838501
244,2007-01-26,736.7274541854858
245,2007-01-29,735.8446187973022
246,2007-01-30,740.0693029403687
247,2007-01-31,744.8751626968383
248,2007-02-01,748.7658178329467
249,2007-02-02,749.9472244262695
250,2007-02-05,749.2713132858277
251,2007-02-06,749.8472879409791
252,2007-02-07,750.8378112792968
253,2007-02-08,750.1284402847291
254,2007-02-09,745.0360458374023
255,2007-02-12,742.5899902343749
256,2007-02-13,748.0872083663941
257,2007-02-14,753.6986196517945
258,2007-02-15,754.4819581985474
259,2007-02-16,753.8893777847289
260,2007-02-20,755.8404092788696
261,2007-02-21,755.0613180160523
262,2007-02-22,754.4100683212281
263,2007-02-23,751.9272205352783
264,2007-02-26,751.0993732452392
265,2007-02-27,725.696402168274
266,2007-02-28,729.7130855560303
267,2007-03-01,727.8042181015015
268,2007-03-02,719.6105812072755
269,2007-03-05,712.9660179138184
270,2007-03-06,723.7401288986207
271,2007-03-07,722.0776027679443
272,2007-03-08,727.0432735443115
273,2007-03-09,727.4186529159546
274,2007-03-12,729.3454900741577
275,2007-03-13,714.984917831421
276,2007-03-14,719.6002002716064
277,2007-03-15,722.1274026870727
278,2007-03-16,719.5331407546996
279,2007-03-19,727.0980472564697
280,2007-03-20,731.6109716415406
281,2007-03-21,743.7420782089233
282,2007-03-22,743.4864854812622
283,2007-03-23,744.1868532180786
284,2007-03-26,744.9496097564697
285,2007-03-27,740.4999788284301
286,2007-03-28,734.873858642578
