Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-04-26 00:00:00+02:00,246.9499969482422,248.14999389648438,246.89999389648438,247.07000732421875,0,0.0,0.0
2004-04-27 00:00:00+02:00,247.19000244140625,247.66000366210938,246.22999572753906,246.9199981689453,0,0.0,0.0
2004-04-28 00:00:00+02:00,246.9600067138672,247.0500030517578,243.3800048828125,243.3800048828125,0,0.0,0.0
2004-04-29 00:00:00+02:00,243.19000244140625,243.42999267578125,240.1699981689453,241.25,0,0.0,0.0
2004-04-30 00:00:00+02:00,240.80999755859375,240.80999755859375,239.0500030517578,239.0500030517578,0,0.0,0.0
2004-05-03 00:00:00+02:00,239.3000030517578,240.49000549316406,238.49000549316406,240.38999938964844,0,0.0,0.0
2004-05-04 00:00:00+02:00,240.64999389648438,241.74000549316406,239.9600067138672,241.33999633789062,0,0.0,0.0
2004-05-05 00:00:00+02:00,241.02999877929688,242.6699981689453,240.3699951171875,242.38999938964844,0,0.0,0.0
2004-05-06 00:00:00+02:00,242.19000244140625,242.19000244140625,239.02000427246094,239.1999969482422,0,0.0,0.0
2004-05-07 00:00:00+02:00,239.2100067138672,239.6699981689453,237.32000732421875,239.35000610351562,0,0.0,0.0
2004-05-10 00:00:00+02:00,239.3000030517578,239.3000030517578,232.94000244140625,232.99000549316406,0,0.0,0.0
2004-05-11 00:00:00+02:00,232.9499969482422,235.52999877929688,232.9499969482422,235.52999877929688,0,0.0,0.0
2004-05-12 00:00:00+02:00,235.2899932861328,235.58999633789062,233.07000732421875,233.1300048828125,0,0.0,0.0
2004-05-13 00:00:00+02:00,232.94000244140625,235.5500030517578,232.94000244140625,235.52999877929688,0,0.0,0.0
2004-05-14 00:00:00+02:00,235.41000366210938,235.41000366210938,232.67999267578125,234.0399932861328,0,0.0,0.0
2004-05-17 00:00:00+02:00,233.1699981689453,233.1699981689453,228.8800048828125,230.60000610351562,0,0.0,0.0
2004-05-18 00:00:00+02:00,230.5399932861328,232.6199951171875,230.5399932861328,232.2899932861328,0,0.0,0.0
2004-05-19 00:00:00+02:00,232.39999389648438,236.52000427246094,232.39999389648438,236.14999389648438,0,0.0,0.0
2004-05-20 00:00:00+02:00,236.00999450683594,236.00999450683594,234.0,234.6699981689453,0,0.0,0.0
2004-05-21 00:00:00+02:00,234.66000366210938,235.77000427246094,233.67999267578125,234.49000549316406,0,0.0,0.0
2004-05-24 00:00:00+02:00,234.77999877929688,237.2100067138672,234.77000427246094,235.72999572753906,0,0.0,0.0
2004-05-25 00:00:00+02:00,235.41000366210938,235.41000366210938,233.55999755859375,234.4199981689453,0,0.0,0.0
2004-05-26 00:00:00+02:00,234.67999267578125,237.22000122070312,234.67999267578125,236.50999450683594,0,0.0,0.0
2004-05-27 00:00:00+02:00,236.52000427246094,238.50999450683594,236.52000427246094,237.72000122070312,0,0.0,0.0
2004-05-28 00:00:00+02:00,237.92999267578125,238.66000366210938,236.69000244140625,236.92999267578125,0,0.0,0.0
2004-06-01 00:00:00+02:00,237.3699951171875,237.69000244140625,235.41000366210938,235.75,0,0.0,0.0
2004-06-02 00:00:00+02:00,235.8300018310547,238.05999755859375,235.8300018310547,236.61000061035156,0,0.0,0.0
2004-06-03 00:00:00+02:00,236.52999877929688,237.4600067138672,235.30999755859375,237.4600067138672,0,0.0,0.0
2004-06-04 00:00:00+02:00,237.58999633789062,239.35000610351562,237.27999877929688,239.1699981689453,0,0.0,0.0
2004-06-07 00:00:00+02:00,239.13999938964844,241.17999267578125,239.13999938964844,240.8000030517578,0,0.0,0.0
2004-06-08 00:00:00+02:00,241.0800018310547,241.7899932861328,240.6300048828125,241.4600067138672,0,0.0,0.0
2004-06-09 00:00:00+02:00,241.77000427246094,242.5800018310547,241.39999389648438,241.5800018310547,0,0.0,0.0
2004-06-10 00:00:00+02:00,241.75,242.2899932861328,241.2100067138672,241.94000244140625,0,0.0,0.0
2004-06-11 00:00:00+02:00,242.47999572753906,242.47999572753906,241.3000030517578,241.64999389648438,0,0.0,0.0
2004-06-14 00:00:00+02:00,241.67999267578125,241.67999267578125,237.8300018310547,238.1999969482422,0,0.0,0.0
2004-06-15 00:00:00+02:00,238.30999755859375,240.2899932861328,237.99000549316406,239.9600067138672,0,0.0,0.0
2004-06-16 00:00:00+02:00,240.19000244140625,242.5,240.14999389648438,242.35000610351562,0,0.0,0.0
2004-06-17 00:00:00+02:00,242.36000061035156,243.36000061035156,242.02999877929688,242.72999572753906,0,0.0,0.0
2004-06-18 00:00:00+02:00,242.72000122070312,243.14999389648438,241.8300018310547,243.0,0,0.0,0.0
2004-06-21 00:00:00+02:00,242.9199981689453,243.3800048828125,242.1199951171875,242.7100067138672,0,0.0,0.0
2004-06-22 00:00:00+02:00,242.5,242.5,239.75999450683594,240.19000244140625,0,0.0,0.0
2004-06-23 00:00:00+02:00,239.8300018310547,241.3800048828125,239.8300018310547,241.02000427246094,0,0.0,0.0
2004-06-24 00:00:00+02:00,241.05999755859375,242.89999389648438,241.05999755859375,242.00999450683594,0,0.0,0.0
2004-06-25 00:00:00+02:00,242.25999450683594,242.4600067138672,241.2899932861328,242.0399932861328,0,0.0,0.0
2004-06-28 00:00:00+02:00,242.08999633789062,244.0399932861328,241.60000610351562,243.60000610351562,0,0.0,0.0
2004-06-29 00:00:00+02:00,243.38999938964844,243.38999938964844,241.83999633789062,242.47999572753906,0,0.0,0.0
2004-06-30 00:00:00+02:00,242.6199951171875,242.8800048828125,240.86000061035156,240.86000061035156,0,0.0,0.0
2004-07-01 00:00:00+02:00,241.33999633789062,242.82000732421875,239.9600067138672,240.0800018310547,0,0.0,0.0
2004-07-02 00:00:00+02:00,240.11000061035156,240.3300018310547,238.02999877929688,238.44000244140625,0,0.0,0.0
2004-07-05 00:00:00+02:00,238.50999450683594,239.27999877929688,238.3000030517578,238.3000030517578,0,0.0,0.0
2004-07-06 00:00:00+02:00,238.2899932861328,238.6199951171875,236.42999267578125,237.0800018310547,0,0.0,0.0
2004-07-07 00:00:00+02:00,236.9600067138672,237.97999572753906,236.47000122070312,236.74000549316406,0,0.0,0.0
2004-07-08 00:00:00+02:00,236.6300048828125,237.44000244140625,235.02999877929688,237.44000244140625,0,0.0,0.0
2004-07-09 00:00:00+02:00,237.11000061035156,237.39999389648438,235.50999450683594,237.32000732421875,0,0.0,0.0
